metric,variant,game_length,seeds,decision_maker,style,focus,strategy,n,mean,sd,se,cv,sd_ucl,n_pairs,rho,mean_diff,p_holm,delta,n_unpaired,n_paired,n_paired_ucl
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Points,1200,2.205,1.0139025258590126,0.02926884481183712,0.45981973961859984,1.0318712782632375,1200,0.15724119470116849,-0.2891666666666667,6.922594224388661e-12,0.24941666666666668,290,245,254
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Placement,1200,0.24364944083693985,0.18450811603418538,0.005326290523000381,0.757268785023257,0.18777803653347533,1200,0.241936901591936,0.018437229437229443,0.03570666868186139,0.022521221139971077,1062,805,834
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Placement,1200,0.08015521284271304,0.11932652297387121,0.00344466000802133,1.488693233315009,0.12144127137609848,1200,0.10525505757943299,-0.08906268037518057,7.45171815816439e-56,0.03384357864357856,289,260,269
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Placement,1200,10.44733333333333,39.82302668181614,1.1495917587346096,3.811788655652111,40.52878496545996,1200,0.17322819895263622,10.338333333333331,7.207028213419828e-10,10,293,243,252
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Placement,1200,2.23,1.003754420054934,0.02897589423094964,0.45011408971073275,1.0215433240063592,1200,0.15029717858440034,-0.26416666666666666,4.4084447513347384e-10,0.24941666666666668,288,245,254
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Points,1200,0.2098999218374212,0.17630114137718628,0.005089375571627838,0.8399295237172171,0.1794256148617601,1200,0.2450034647001429,-0.01531228956228954,0.10328915974413469,0.022521221139971077,1016,768,795
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Points,1200,0.0805487012987015,0.11921521476765343,0.0034414468168801875,1.4800389434655636,0.12132799052502867,1200,0.12197689250670962,-0.08866919191919216,2.615005336271184e-56,0.03384357864357856,288,255,264
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Points,1200,10.468666666666667,39.67642037155241,1.1453595990998267,3.7900165928375857,40.379580444399004,1200,0.19862159285886044,10.359666666666675,3.7091856718409923e-10,10,293,235,244
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Points,1200,2.28,1.0299598767863858,0.029732380605856677,0.4517367880642043,1.0482132034526555,1200,0.15534659874509096,-0.21416666666666667,3.764894188845308e-07,0.24941666666666668,295,249,258
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Placement,1200,0.2115637302512295,0.17619416260244639,0.005086287360408155,0.8328183776738,0.17931674016994062,1200,0.23543944385042265,-0.013648481148481158,0.1740545102160646,0.022521221139971077,1016,777,805
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Placement,1200,0.08022548747548769,0.1219601117529755,0.003520685167548862,1.5202165245831571,0.12412153358139448,1200,0.10482680079311275,-0.08899240574240595,4.765993035584062e-55,0.03384357864357856,293,264,273
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Placement,1200,9.581000000000012,38.89208318040778,1.1227177346776873,4.059292681391058,39.58134294190327,1200,0.17471529335470629,9.472000000000014,1.2512911026422709e-08,10,288,238,247
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Placement,1200,2.2641666666666667,1.021764474372542,0.02949579971636918,0.45127617565220846,1.0398725591116327,1200,0.14745906514417048,-0.23,7.140875268570496e-08,0.24941666666666668,292,250,259
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Speed,Points,1200,0.2575682118807109,0.19249793670851245,0.00555693677885536,0.7473668249002139,0.1959094557399981,1200,0.23606466349773733,0.032356000481000464,1.656112045390878e-05,0.022521221139971077,1109,847,878
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Speed,Points,1200,0.0943579846079849,0.12369890206838392,0.00357087972038213,1.3109532021301362,0.12589113937646054,1200,0.16862053718040054,-0.07485990860990874,9.308773897528606e-42,0.03384357864357856,296,248,257
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Speed,Points,1200,13.591333333333322,43.77580220781798,1.2636985594337762,3.2208614956456088,44.551613028983624,1200,0.18268635430532526,13.482333333333326,6.4194087067486815e-15,10,319,261,271
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Speed,Points,1200,2.2016666666666667,1.0331037258245093,0.029823135710279284,0.46923711998085205,1.051412768936415,1200,0.1740005915699996,-0.2925,3.742123457234697e-12,0.24941666666666668,295,244,253
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Speed,Placement,1200,0.25739547258297135,0.1893959637372085,0.005467390532355295,0.7358169972323688,0.19275250846607198,1200,0.241583698736538,0.032183261183261175,1.5515389266331642e-05,0.022521221139971077,1090,827,857
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Speed,Placement,1200,0.09307329244829278,0.12404033890400187,0.0035807361528298943,1.3327167830977178,0.12623862728089863,1200,0.13224212684153155,-0.07614460076960086,1.5391769075497527e-41,0.03384357864357856,296,259,268
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Speed,Placement,1200,11.000666666666662,40.94766324826688,1.1820572199536512,3.7222892474638107,41.67335275359315,1200,0.17177385100963316,10.891666666666667,1.6723898251622305e-10,10,301,249,258
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Speed,Placement,1200,2.2216666666666667,1.031625302387448,0.029780457301811107,0.4643474729425872,1.0499081443370017,1200,0.16771499598431652,-0.2725,1.2919437272182374e-10,0.24941666666666668,295,246,255
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Balanced,Points,1200,0.22863365800865731,0.17992262082784694,0.005193918678413019,0.7869472167612088,0.18311127549939507,1200,0.24770757860900985,0.003421446608946604,1,0.022521221139971077,1036,780,808
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Balanced,Points,1200,0.09930693843193876,0.13005653860266736,0.003754408878606047,1.3096420114874774,0.13236144827701884,1200,0.14851278738600632,-0.06991095478595497,3.4045897685060587e-35,0.03384357864357856,307,263,272
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Balanced,Points,1200,12.026333333333339,42.92870952684527,1.2392451000643683,3.569559261080843,43.689507860853986,1200,0.1959678134803171,11.917333333333321,3.18129354055366e-12,10,314,252,261
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Balanced,Points,1200,2.25625,1.064419291377485,0.03072713822037108,0.4717647828819878,1.0832833204268633,1200,0.16532326647436438,-0.23791666666666667,4.162448992659787e-08,0.24941666666666668,304,254,263
